T (K)	P (kPa)	pl (kg/m3)	pg (kg/m3)	hl (kJ/kg)	hg (kJ/kg)	dh (kJ/kg)
182.33	87.73	1222.8	2.613	-474	-96.8	377
184.69	101.325	1216.3	2.987	-470	-95.4	375
185	103.2	1215.5	3.039	-470	-95.2	374
190	138.0	1201.6	3.980	-461	-92.2	369
195	181.3	1187.4	5.133	-452	-89.3	363
200	234.5	1172.9	6.528	-443	-86.6	357
205	298.8	1158.2	8.198	-434	-84.0	350
210	375.8	1143.2	10.18	-425	-81.6	344
215	466.9	1127.8	12.50	-416	-79.4	337
220	573.8	1112.1	15.21	-407	-77.3	330
225	698.0	1096.0	18.36	-398	-75.5	323
230	841.1	1079.5	21.98	-389	-73.8	315
235	1005	1062.4	26.13	-380	-72.3	307
240	1191	1044.8	30.89	-370	-71.1	299
245	1401	1026.6	36.31	-361	-70.2	291
250	1638	1007.7	42.49	-351	-69.6	282
255	1902	988.0	49.53	-341	-69.2	272
260	2196	967.4	57.57	-331	-69.3	262
265	2522	945.7	66.77	-321	-69.8	251
270	2881	922.7	77.35	-311	-70.7	240
275	3278	898.1	89.62	-300	-72.3	227
280	3712	871.5	104.0	-288	-74.6	214
285	4188	842.3	121.2	-277	-77.9	199
290	4708	809.7	142.1	-264	-82.4	182
295	5276	771.8	168.8	-250	-88.9	161
300	5896	725.3	204.9	-235	-98.5	137
305	6573	660.5	261.5	-217	-115	102
309.57	7251	452	452	-200	-200	0
